gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
919450154	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.14376	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis		EC	Quininde	Esmeraldas	PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862	0.333	-79.467	11657.0						1967-12-21	21	12	1967	2433738	2433738	PRESERVED_SPECIMEN	MSU	MR	MR.14376				CC0_1_0		Senora Blanca Teran		native	2025-01-31T18:29:00.304Z		
919449915	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.14377	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis		EC	Rio Blanco	Esmeraldas	PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862	0.30768	-78.457	9115.0						1967-05-27	27	5	1967	2433738	2433738	PRESERVED_SPECIMEN	MSU	MR	MR.14377				CC0_1_0		Senora Blanca Teran		native	2025-01-31T18:29:00.303Z		
919435386	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.11934	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis		EC	Mache	Manabí	PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862	0.14932	-79.457	14115.0						1965-07-15	15	7	1965	2433738	2433738	PRESERVED_SPECIMEN	MSU	MR	MR.11934				CC0_1_0		Senora Blanca Teran		native	2025-01-31T18:28:53.303Z		
919424866	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.11913	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis		EC	Chuimolo	Pichincha	PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862	-0.27558	-78.60871	93815.0						1966-03-15	15	3	1966	2433738	2433738	PRESERVED_SPECIMEN	MSU	MR	MR.11913				CC0_1_0		Senora Blanca Teran		native	2025-01-31T18:28:53.263Z		
919422011	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.23047	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis		PA	Chagres River		PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862	9.31667	-80.0	13598.0						1974-04-24	24	4	1974	2433738	2433738	PRESERVED_SPECIMEN	MSU	MR	MR.23047	185			CC0_1_0		Gary A. Dawson		native	2025-01-31T18:29:03.930Z		
919418083	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.11915	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis		EC	Atacames	Esmeraldas	PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862	0.867	-79.85	3057.0						1966-06-18	18	6	1966	2433738	2433738	PRESERVED_SPECIMEN	MSU	MR	MR.11915				CC0_1_0		Senora Blanca Teran		native	2025-01-31T18:28:53.242Z		
919144152	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:04307	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis	(Olfers, 1818)	CO	Debajo de la pista	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	-0.604848	-72.402778	586.0						1988-12-11	11	12	1988	2433738	2433738	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:4307	MSA-1410			CC0_1_0		Michael Alberico			2025-01-31T21:23:51.483Z		INSTITUTION_MATCH_NONE
919141098	a4555281-5046-424f-9cd1-e7c103234416	CVST:FLORAYFAUNACIENAGAPAREDES:514	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis	Olfers, 1818	CO	El Cerrito, Sector Caño Peruétano	Santander	PRESENT		70f5f94a-045f-453e-aae9-c60133376231	7.498889	-73.772222			56.0	0.0			2012-03-14	14	3	2012	2433738	2433738	HUMAN_OBSERVATION	Cabildo Verde Sabana de Torres	CVST	514	DR 38	Daniel Rodríguez	2012-03-16T00:00:00	CC0_1_0		Daniel Rodríguez			2025-01-31T23:58:16.823Z		COORDINATE_ROUNDED
919141093	a4555281-5046-424f-9cd1-e7c103234416	CVST:FLORAYFAUNACIENAGAPAREDES:513	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lontra longicaudis (Olfers, 1818)	Lontra longicaudis	Olfers, 1818	CO	Campo Duro, Sector la Bodega	Santander	PRESENT		70f5f94a-045f-453e-aae9-c60133376231	7.4325	-73.768333			58.0	0.0			2012-10-03	3	10	2012	2433738	2433738	HUMAN_OBSERVATION	Cabildo Verde Sabana de Torres	CVST	513	DR 37	Daniel Rodríguez		CC0_1_0		Daniel Rodríguez			2025-01-31T23:58:16.813Z		COORDINATE_ROUNDED;IDENTIFIED_DATE_INVALID
896307451	226b536c-25f9-4f6b-b144-edcbdffa3566	http://arctos.database.museum/guid/MLZ:Mamm:951?seid=331679	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis		SPECIES	Lutra longicaudis Olfers, 1818	Lutra longicaudis		MX	E slope Cerro Mohinora, near Guadalupe y Calvo, Imperial Valley	Chihuahua	PRESENT		247b85e0-4e6b-46d1-b1c8-47b00bb8ced7	25.932421	-106.998425	3836.0		2788.5	350.5			1937-05-22	22	5	1937	4970000	2433738	PRESERVED_SPECIMEN	MLZ	Mamm	MLZ:Mamm:951	24123	Chester C. Lamb		CC0_1_0		Collector(s): Chester C. Lamb			2025-01-31T18:28:27.767Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
